year,beer,wine,spirits,total,decile
2009,1.26,1.00,1.64,3.90,1
2008,1.34,1.00,1.63,3.97,1 
2007,1.35,0.99,1.61,3.95,1 
2006,1.36,0.95,1.58,3.89,1 
2005,1.38,0.92,1.53,3.84,1 
2004,1.41,0.94,1.57,3.93,1 
2003,1.40,0.90,1.54,3.84,1 
2002,1.36,0.84,1.47,3.67,1 
2001,1.33,0.82,1.46,3.61,1 
2000,1.35,0.70,1.48,3.53,1 
1999,1.37,0.73,1.35,3.45,1 
1998,1.37,0.73,1.44,3.55,1 
1997,1.40,0.74,1.61,3.75,1 
1996,1.42,0.74,1.47,3.63,1 
1995,1.51,0.72,1.52,3.74,1 
1994,1.50,0.74,1.52,3.76,1 
1993,1.51,0.73,1.54,3.78,1 
1992,1.61,0.70,1.74,4.05,1 
1991,1.42,0.61,1.85,3.89,1 
1990,1.42,0.76,1.96,4.14,1 
1989,1.49,0.88,1.85,4.22,1 
1988,1.47,0.99,2.02,4.48,1 
1987,1.48,1.00,2.37,4.85,1 
1986,1.52,1.04,2.19,4.75,1 
1985,1.49,1.03,2.42,4.94,1 
1984,1.56,1.11,2.68,5.34,1 
1983,1.55,1.08,2.79,5.41,1 
1982,1.48,1.00,2.91,5.39,1 
1981,1.50,1.06,2.92,5.49,1 
1980,1.49,0.99,2.94,5.42,1 
1979,1.48,0.99,3.03,5.49,1 
1978,1.43,0.94,3.14,5.51,1 
1977,1.39,0.89,3.26,5.53,1 
