year,beer,wine,spirits,total,decile
2009,1.20,0.22,0.58,2.01,9 
2008,1.24,0.22,0.58,2.04,9 
2007,1.24,0.22,0.56,2.02,9 
2006,1.22,0.21,0.55,1.97,9 
2005,1.18,0.20,0.53,1.91,9 
2004,1.19,0.20,0.52,1.90,9 
2003,1.18,0.19,0.52,1.89,9 
2002,1.18,0.21,0.53,1.92,9 
2001,1.16,0.17,0.53,1.86,9 
2000,1.19,0.18,0.51,1.88,9 
1999,1.18,0.17,0.51,1.87,9 
1998,1.16,0.17,0.51,1.85,9 
1997,1.14,0.15,0.52,1.81,9 
1996,1.17,0.15,0.53,1.86,9 
1995,1.14,0.15,0.53,1.81,9 
1994,1.16,0.17,0.54,1.87,9 
1993,1.14,0.17,0.56,1.86,9 
1992,1.02,0.19,0.59,1.79,10 
1991,1.00,0.17,0.59,1.76,10 
1990,1.12,0.18,0.61,1.92,9 
1989,1.10,0.17,0.60,1.87,9 
1988,1.10,0.18,0.61,1.89,9 
1987,1.10,0.18,0.61,1.89,9 
1986,1.09,0.18,0.64,1.90,9 
1985,1.06,0.17,0.67,1.90,9 
1984,1.02,0.19,0.69,1.90,10 
1983,1.01,0.17,0.71,1.89,10 
1982,1.00,0.18,0.72,1.89,10 
1981,1.00,0.19,0.73,1.92,10 
1980,0.96,0.16,0.74,1.86,10 
1979,0.98,0.12,0.84,1.94,10 
1978,0.98,0.12,0.88,1.97,9 
1977,0.99,0.13,0.84,1.96,9 
