year,beer,wine,spirits,total,decile
2009,1.31,0.54,1.16,3.02,2 
2008,1.20,0.49,1.09,2.77,2 
2007,1.13,0.44,1.07,2.64,3 
2006,1.24,0.46,1.02,2.73,2 
2005,1.24,0.43,0.99,2.65,2 
2004,1.32,0.45,0.96,2.73,2 
2003,1.27,0.37,0.79,2.43,3 
2002,1.36,0.43,1.08,2.87,1 
2001,1.34,0.40,0.97,2.71,2 
2000,1.35,0.37,0.92,2.63,2 
1999,1.45,0.40,0.98,2.82,1 
1998,1.37,0.39,0.98,2.74,1 
1997,1.31,0.36,0.88,2.56,2 
1996,1.31,0.38,0.94,2.63,2 
1995,1.45,0.39,1.02,2.86,1 
1994,1.53,0.40,1.10,3.03,1 
1993,1.31,0.32,0.92,2.55,2 
1992,1.53,0.41,1.08,3.02,1 
1991,1.54,0.43,1.14,3.11,1 
1990,1.62,0.46,1.25,3.33,1 
1989,1.57,0.46,1.24,3.27,1 
1988,1.60,0.49,1.23,3.32,1 
1987,1.64,0.54,1.29,3.46,1 
1986,1.68,0.56,1.27,3.51,1 
1985,1.68,0.58,1.53,3.78,1 
1984,1.73,0.58,1.56,3.86,1 
1983,1.76,0.61,1.70,4.06,1 
1982,1.75,0.56,1.74,4.05,1 
1981,1.71,0.57,1.82,4.10,1 
1980,1.55,0.50,1.70,3.76,1 
1979,1.50,0.47,1.65,3.62,1 
1978,1.39,0.45,1.68,3.52,2 
1977,1.19,0.42,1.70,3.31,2 
