year,beer,wine,spirits,total,decile
2009,1.19,0.38,0.74,2.31,7 
2008,1.27,0.40,0.75,2.41,5 
2007,1.36,0.33,0.76,2.45,5 
2006,1.31,0.37,0.78,2.47,5 
2005,1.33,0.39,0.74,2.47,3 
2004,1.39,0.33,0.70,2.43,4 
2003,1.41,0.37,0.71,2.48,3 
2002,1.46,0.33,0.69,2.49,3 
2001,1.47,0.33,0.70,2.50,3 
2000,1.48,0.31,0.71,2.50,3 
1999,1.47,0.34,0.69,2.51,2 
1998,1.44,0.32,0.68,2.44,2 
1997,1.45,0.31,0.68,2.44,2 
1996,1.52,0.33,0.73,2.58,2 
1995,1.47,0.29,0.68,2.44,3 
1994,1.52,0.29,0.70,2.50,2 
1993,1.58,0.27,0.76,2.62,2 
1992,1.58,0.31,0.80,2.69,2 
1991,1.58,0.35,0.78,2.71,2 
1990,1.59,0.37,0.80,2.77,3 
1989,1.68,0.36,0.85,2.89,2 
1988,1.64,0.42,0.88,2.94,2 
1987,1.67,0.46,0.86,2.99,2 
1986,1.77,0.46,0.91,3.14,2 
1985,1.67,0.46,1.00,3.12,2 
1984,1.57,0.45,1.06,3.08,3 
1983,1.62,0.44,1.00,3.06,3 
1982,1.74,0.40,0.99,3.13,3 
1981,1.78,0.42,1.01,3.22,3 
1980,1.69,0.36,0.98,3.03,4 
1979,1.86,0.39,1.17,3.42,2 
1978,1.77,0.37,1.10,3.25,2 
1977,1.70,0.34,1.05,3.10,3 
