year,beer,wine,spirits,total,decile
2009,1.07,0.17,0.60,1.83,10 
2008,1.11,0.17,0.60,1.88,10 
2007,1.07,0.17,0.60,1.84,10 
2006,1.07,0.17,0.59,1.82,10 
2005,1.05,0.16,0.58,1.79,10 
2004,1.07,0.15,0.58,1.80,10 
2003,1.06,0.14,0.56,1.76,10 
2002,1.07,0.14,0.53,1.73,10 
2001,1.06,0.13,0.53,1.72,10 
2000,1.09,0.12,0.53,1.74,10 
1999,1.09,0.12,0.54,1.75,10 
1998,1.10,0.11,0.51,1.73,10 
1997,1.08,0.12,0.52,1.71,10 
1996,1.10,0.12,0.53,1.75,9 
1995,1.08,0.12,0.51,1.70,10 
1994,1.06,0.13,0.46,1.65,10 
1993,1.10,0.11,0.58,1.79,9 
1992,1.13,0.12,0.65,1.90,9 
1991,1.12,0.11,0.58,1.81,9 
1990,1.12,0.13,0.61,1.86,9 
1989,1.08,0.13,0.57,1.78,9 
1988,1.07,0.14,0.53,1.74,10 
1987,1.08,0.11,0.53,1.71,10 
1986,1.06,0.09,0.48,1.63,10 
1985,1.03,0.13,0.58,1.75,10 
1984,1.02,0.12,0.64,1.78,10 
1983,1.03,0.13,0.63,1.78,10 
1982,1.03,0.12,0.63,1.78,10 
1981,1.06,0.12,0.68,1.87,10 
1980,1.00,0.12,0.69,1.81,10 
1979,0.93,0.10,0.57,1.60,10 
1978,0.97,0.11,0.73,1.82,10 
1977,0.92,0.10,0.63,1.65,10 
