year,beer,wine,spirits,total,decile
2009,0.89,0.59,0.86,2.34,6 
2008,0.94,0.59,0.86,2.39,6 
2007,0.93,0.58,0.85,2.35,6 
2006,0.93,0.55,0.84,2.32,6 
2005,0.90,0.54,0.79,2.23,6 
2004,0.92,0.53,0.79,2.24,6 
2003,0.93,0.52,0.77,2.22,6 
2002,0.95,0.50,0.74,2.20,6 
2001,0.95,0.50,0.74,2.19,6 
2000,0.94,0.49,0.74,2.18,6 
1999,0.94,0.49,0.75,2.18,6 
1998,0.96,0.48,0.74,2.18,6 
1997,0.95,0.48,0.74,2.17,6 
1996,0.94,0.46,0.72,2.13,6 
1995,0.97,0.49,0.77,2.22,5 
1994,0.99,0.43,0.78,2.20,6 
1993,0.96,0.44,0.80,2.20,6 
1992,1.01,0.45,0.83,2.30,6 
1991,1.03,0.43,0.84,2.29,6 
1990,1.09,0.45,0.92,2.46,6 
1989,1.09,0.47,0.98,2.54,4 
1988,1.14,0.51,1.07,2.71,3 
1987,1.15,0.52,1.12,2.79,3 
1986,1.13,0.51,1.15,2.79,3 
1985,1.14,0.50,1.20,2.84,3 
1984,1.10,0.50,1.20,2.80,4 
1983,1.10,0.49,1.23,2.82,4 
1982,1.04,0.49,1.20,2.73,6 
1981,1.05,0.44,1.18,2.67,6 
1980,1.06,0.43,1.21,2.70,6 
1979,1.13,0.40,1.20,2.72,5 
1978,1.07,0.38,1.20,2.65,6 
1977,1.05,0.35,1.21,2.61,6 
