year,beer,wine,spirits,total,decile
2009,1.08,0.25,0.64,1.97,9 
2008,1.13,0.25,0.64,2.02,9 
2007,1.16,0.26,0.64,2.06,8 
2006,1.17,0.26,0.64,2.06,8 
2005,1.13,0.26,0.63,2.01,8 
2004,1.17,0.26,0.63,2.06,8 
2003,1.19,0.26,0.66,2.11,7 
2002,1.20,0.26,0.65,2.12,7 
2001,1.19,0.26,0.65,2.10,7 
2000,1.22,0.26,0.69,2.17,7 
1999,1.23,0.27,0.69,2.20,6 
1998,1.21,0.24,0.70,2.14,7 
1997,1.19,0.25,0.70,2.14,6 
1996,1.22,0.24,0.70,2.16,6 
1995,1.20,0.22,0.71,2.13,6 
1994,1.17,0.20,0.77,2.14,7 
1993,1.23,0.20,0.77,2.20,6 
1992,1.22,0.21,0.79,2.23,7 
1991,1.16,0.22,0.78,2.17,7 
1990,1.22,0.23,0.86,2.31,7 
1989,1.18,0.24,0.94,2.37,6 
1988,1.22,0.26,0.92,2.40,6 
1987,1.22,0.27,1.00,2.49,6 
1986,1.22,0.27,0.95,2.43,6 
1985,1.17,0.25,1.01,2.43,7 
1984,1.18,0.23,1.06,2.48,7 
1983,1.14,0.22,1.05,2.42,7 
1982,1.12,0.21,1.04,2.37,8 
1981,1.10,0.18,1.09,2.38,8 
1980,1.07,0.19,1.09,2.35,8 
1979,1.17,0.19,1.22,2.58,7 
1978,1.14,0.19,1.26,2.59,7 
1977,1.08,0.16,1.23,2.47,7 
