year,beer,wine,spirits,total,decile
2009,1.30,0.53,0.75,2.58,4 
2008,1.35,0.52,0.74,2.62,4 
2007,1.34,0.49,0.80,2.62,3 
2006,1.30,0.48,0.78,2.56,3 
2005,1.32,0.46,0.74,2.52,3 
2004,1.39,0.49,0.68,2.56,2 
2003,1.30,0.42,0.67,2.39,4 
2002,1.27,0.39,0.62,2.28,5 
2001,1.30,0.38,0.60,2.28,5 
2000,1.33,0.39,0.60,2.33,4 
1999,1.31,0.39,0.56,2.26,5 
1998,1.32,0.37,0.54,2.22,5 
1997,1.37,0.37,0.56,2.30,4 
1996,1.40,0.36,0.58,2.34,4 
1995,1.41,0.34,0.57,2.32,4 
1994,1.46,0.38,0.62,2.47,3 
1993,1.49,0.37,0.65,2.51,3 
1992,1.55,0.39,0.69,2.63,2 
1991,1.57,0.40,0.70,2.67,2 
1990,1.64,0.40,0.79,2.84,2 
1989,1.54,0.43,0.79,2.76,3 
1988,1.62,0.45,0.79,2.86,3 
1987,1.57,0.40,0.76,2.73,4 
1986,1.60,0.44,0.85,2.88,3 
1985,1.59,0.41,0.88,2.88,3 
1984,1.65,0.41,0.91,2.97,3 
1983,1.87,0.44,1.12,3.43,1 
1982,1.80,0.48,1.14,3.42,1 
1981,1.74,0.44,1.16,3.34,2 
1980,1.65,0.46,1.21,3.31,2 
1979,1.60,0.44,1.28,3.32,3 
1978,1.38,0.46,1.30,3.15,3 
1977,1.61,0.36,1.26,3.23,2 
