year,beer,wine,spirits,total,decile
2009,1.05,0.92,0.70,2.68,3 
2008,1.15,0.81,0.69,2.65,3 
2007,1.18,0.74,0.67,2.59,4 
2006,1.14,0.74,0.65,2.53,4 
2005,1.10,0.73,0.61,2.44,4 
2004,1.12,0.71,0.57,2.40,5 
2003,1.14,0.64,0.54,2.33,5 
2002,1.16,0.64,0.53,2.32,5 
2001,1.14,0.63,0.53,2.30,5 
2000,1.16,0.65,0.51,2.32,4 
1999,1.17,0.68,0.52,2.36,4 
1998,1.15,0.59,0.51,2.25,4 
1997,1.14,0.36,0.50,2.00,7 
1996,1.18,0.30,0.51,1.98,7 
1995,1.15,0.30,0.53,1.98,7 
1994,1.24,0.35,0.53,2.12,7 
1993,1.26,0.29,0.55,2.11,7 
1992,1.32,0.31,0.57,2.20,7 
1991,1.31,0.32,0.56,2.19,7 
1990,1.36,0.33,0.58,2.27,7 
1989,1.23,0.30,0.56,2.09,8 
1988,1.25,0.36,0.58,2.18,7 
1987,1.31,0.38,0.58,2.26,7 
1986,1.34,0.38,0.61,2.33,7 
1985,1.35,0.36,0.71,2.42,7 
1984,1.40,0.31,0.72,2.43,7 
1983,1.44,0.30,0.76,2.51,7 
1982,1.47,0.31,0.81,2.58,7 
1981,1.54,0.33,0.83,2.70,6 
1980,1.53,0.30,0.77,2.60,7 
1979,1.55,0.27,0.84,2.65,6 
1978,1.50,0.26,0.80,2.56,7 
1977,1.50,0.22,0.79,2.52,7 
