year,beer,wine,spirits,total,decile
2009,1.09,0.25,0.73,2.06,8 
2008,1.11,0.24,0.74,2.09,8 
2007,1.14,0.24,0.72,2.10,8 
2006,1.10,0.25,0.66,2.00,8 
2005,1.11,0.22,0.68,2.01,8 
2004,1.14,0.22,0.66,2.02,8 
2003,1.11,0.21,0.64,1.96,9 
2002,1.13,0.20,0.60,1.93,9 
2001,1.15,0.20,0.62,1.97,9 
2000,1.16,0.21,0.61,1.98,8 
1999,1.16,0.19,0.59,1.94,8 
1998,1.14,0.19,0.58,1.91,8 
1997,1.12,0.19,0.59,1.90,8 
1996,1.13,0.19,0.57,1.89,8 
1995,1.12,0.21,0.58,1.91,8 
1994,1.15,0.20,0.59,1.94,8 
1993,1.15,0.19,0.64,1.98,8 
1992,1.16,0.20,0.58,1.95,9 
1991,1.22,0.19,0.60,2.00,9 
1990,1.26,0.20,0.63,2.09,8 
1989,1.21,0.19,0.63,2.04,8 
1988,1.23,0.21,0.66,2.10,8 
1987,1.24,0.22,0.67,2.13,8 
1986,1.25,0.23,0.67,2.14,8 
1985,1.25,0.22,0.72,2.19,8 
1984,1.26,0.21,0.72,2.19,8 
1983,1.27,0.19,0.73,2.19,8 
1982,1.29,0.18,0.76,2.23,8 
1981,1.29,0.18,0.78,2.25,8 
1980,1.26,0.17,0.77,2.21,8 
1979,1.23,0.15,0.79,2.18,9 
1978,1.19,0.16,0.79,2.14,8 
1977,1.14,0.14,0.77,2.05,9 
