year,beer,wine,spirits,total,decile
2009,1.42,0.18,0.72,2.31,6 
2008,1.41,0.17,0.70,2.29,7 
2007,1.40,0.17,0.67,2.24,7 
2006,1.38,0.16,0.65,2.19,7 
2005,1.37,0.16,0.60,2.13,7 
2004,1.37,0.16,0.57,2.09,7 
2003,1.37,0.15,0.53,2.05,8 
2002,1.37,0.14,0.51,2.02,8 
2001,1.36,0.13,0.50,1.98,8 
2000,1.35,0.13,0.50,1.98,8 
1999,1.34,0.13,0.48,1.95,8 
1998,1.31,0.12,0.46,1.90,8 
1997,1.28,0.12,0.45,1.85,9 
1996,1.28,0.12,0.45,1.85,9 
1995,1.26,0.11,0.44,1.80,9 
1994,1.30,0.10,0.44,1.84,9 
1993,1.28,0.11,0.48,1.87,9 
1992,1.31,0.13,0.46,1.90,9 
1991,1.32,0.16,0.52,2.01,8 
1990,1.34,0.18,0.54,2.06,9 
1989,1.26,0.18,0.50,1.94,9 
1988,1.28,0.20,0.52,1.99,9 
1987,1.30,0.21,0.57,2.08,9 
1986,1.32,0.19,0.53,2.04,9 
1985,1.31,0.14,0.57,2.02,9 
1984,1.36,0.12,0.61,2.09,9 
1983,1.38,0.13,0.64,2.15,8 
1982,1.39,0.13,0.65,2.17,9 
1981,1.44,0.13,0.69,2.27,8 
1980,1.41,0.13,0.71,2.25,8 
1979,1.40,0.11,0.71,2.22,8 
1978,1.38,0.11,0.74,2.22,8 
1977,1.33,0.10,0.74,2.17,8 
