year,beer,wine,spirits,total,decile
2009,1.18,0.14,0.67,1.99,9 
2008,1.21,0.14,0.65,2.01,9 
2007,1.17,0.15,0.64,1.96,9 
2006,1.14,0.18,0.61,1.94,9 
2005,1.14,0.18,0.57,1.88,9 
2004,1.13,0.16,0.56,1.85,9 
2003,1.15,0.17,0.56,1.88,10 
2002,1.19,0.15,0.54,1.88,9 
2001,1.12,0.15,0.53,1.79,9 
2000,1.15,0.15,0.52,1.82,9 
1999,1.14,0.16,0.54,1.84,9 
1998,1.09,0.15,0.54,1.79,9 
1997,1.09,0.14,0.48,1.71,10 
1996,1.05,0.14,0.49,1.69,10 
1995,1.08,0.15,0.50,1.72,9 
1994,1.12,0.13,0.48,1.73,10 
1993,1.09,0.14,0.52,1.75,10 
1992,1.09,0.14,0.55,1.78,10 
1991,1.15,0.14,0.57,1.85,9 
1990,1.13,0.13,0.53,1.79,10 
1989,1.10,0.13,0.54,1.77,10 
1988,1.11,0.21,0.56,1.88,9 
1987,1.12,0.16,0.56,1.84,9 
1986,1.12,0.17,0.59,1.88,9 
1985,1.17,0.15,0.64,1.96,9 
1984,1.18,0.14,0.63,1.95,9 
1983,1.20,0.13,0.64,1.96,9 
1982,1.22,0.13,0.67,2.02,9 
1981,1.23,0.12,0.70,2.05,9 
1980,1.23,0.11,0.62,1.96,9 
1979,1.17,0.11,0.73,2.01,9 
1978,1.14,0.12,0.64,1.89,10 
1977,1.13,0.10,0.65,1.88,10 
