year,beer,wine,spirits,total,decile
2009,1.11,0.18,0.65,1.94,10 
2008,1.03,0.18,0.65,1.86,10 
2007,1.05,0.17,0.63,1.85,10 
2006,1.04,0.17,0.62,1.83,10 
2005,1.05,0.14,0.61,1.80,10 
2004,1.07,0.17,0.57,1.81,10 
2003,1.03,0.15,0.56,1.74,10 
2002,1.08,0.14,0.54,1.76,10 
2001,1.04,0.12,0.46,1.63,10 
2000,1.07,0.14,0.54,1.74,10 
1999,1.07,0.13,0.54,1.74,10 
1998,1.07,0.13,0.53,1.72,10 
1997,1.06,0.13,0.53,1.72,9 
1996,1.05,0.13,0.54,1.72,10 
1995,1.05,0.12,0.54,1.71,10 
1994,1.08,0.11,0.55,1.73,10 
1993,1.08,0.10,0.55,1.73,10 
1992,1.04,0.11,0.56,1.71,10 
1991,1.11,0.11,0.56,1.78,10 
1990,1.12,0.11,0.60,1.83,10 
1989,1.08,0.12,0.56,1.76,10 
1988,1.08,0.12,0.59,1.79,10 
1987,1.03,0.14,0.59,1.76,10 
1986,1.09,0.13,0.62,1.84,10 
1985,1.07,0.13,0.66,1.86,10 
1984,1.05,0.12,0.68,1.85,10 
1983,1.13,0.12,0.69,1.94,9 
1982,1.14,0.12,0.73,1.99,9 
1981,1.13,0.11,0.75,1.99,9 
1980,1.08,0.10,0.74,1.91,10 
1979,1.10,0.09,0.77,1.97,10 
1978,1.07,0.09,0.77,1.93,10 
1977,1.19,0.09,0.75,2.03,9 
