year,beer,wine,spirits,total,decile
2009,0.97,0.37,0.87,2.21,7 
2008,0.99,0.36,0.85,2.21,7 
2007,1.01,0.36,0.84,2.21,7 
2006,1.02,0.34,0.83,2.19,7 
2005,0.93,0.32,0.85,2.11,7 
2004,1.03,0.33,0.79,2.15,7 
2003,1.02,0.32,0.77,2.11,7 
2002,1.05,0.31,0.75,2.11,7 
2001,1.06,0.30,0.75,2.11,7 
2000,1.04,0.30,0.75,2.09,7 
1999,1.04,0.30,0.74,2.08,7 
1998,1.05,0.30,0.73,2.08,7 
1997,1.05,0.29,0.73,2.07,7 
1996,1.05,0.29,0.74,2.08,7 
1995,1.06,0.28,0.74,2.09,7 
1994,1.09,0.28,0.78,2.15,6 
1993,1.10,0.28,0.80,2.19,7 
1992,1.11,0.29,0.86,2.26,6 
1991,1.15,0.30,0.89,2.33,6 
1990,1.22,0.33,0.96,2.51,5 
1989,1.22,0.34,0.98,2.54,4 
1988,1.26,0.36,1.01,2.62,4 
1987,1.29,0.38,1.07,2.74,3 
1986,1.29,0.39,1.08,2.75,4 
1985,1.31,0.36,1.14,2.81,4 
1984,1.31,0.36,1.17,2.84,4 
1983,1.34,0.35,1.20,2.89,4 
1982,1.27,0.32,1.17,2.77,5 
1981,1.39,0.34,1.33,3.06,4 
1980,1.42,0.33,1.35,3.09,4 
1979,1.43,0.31,1.39,3.14,3 
1978,1.41,0.31,1.38,3.09,3 
1977,1.37,0.30,1.39,3.05,3 
