year,beer,wine,spirits,total,decile
2009,1.41,0.11,0.71,2.24,7 
2008,1.45,0.12,0.70,2.28,7 
2007,1.46,0.12,0.68,2.26,7 
2006,1.46,0.12,0.67,2.25,6 
2005,1.40,0.12,0.65,2.17,7 
2004,1.39,0.12,0.63,2.13,7 
2003,1.40,0.12,0.62,2.14,7 
2002,1.40,0.12,0.61,2.12,7 
2001,1.39,0.11,0.60,2.11,7 
2000,1.44,0.09,0.60,2.13,7 
1999,1.45,0.10,0.61,2.15,7 
1998,1.40,0.09,0.59,2.08,7 
1997,1.37,0.09,0.61,2.07,7 
1996,1.37,0.09,0.62,2.08,7 
1995,1.36,0.09,0.61,2.06,7 
1994,1.28,0.08,0.63,2.00,7 
1993,1.37,0.10,0.63,2.11,7 
1992,1.35,0.09,0.63,2.08,8 
1991,1.32,0.09,0.64,2.05,8 
1990,1.34,0.09,0.65,2.08,8 
1989,1.26,0.09,0.65,2.00,9 
1988,1.28,0.09,0.66,2.03,9 
1987,1.26,0.09,0.66,2.01,9 
1986,1.26,0.10,0.68,2.04,9 
1985,1.21,0.10,0.73,2.04,9 
1984,1.19,0.11,0.77,2.06,9 
1983,1.19,0.11,0.79,2.09,9 
1982,1.19,0.11,0.82,2.11,9 
1981,1.19,0.11,0.84,2.14,9 
1980,1.13,0.10,0.86,2.09,9 
1979,1.15,0.10,0.84,2.09,9 
1978,1.16,0.10,0.91,2.18,8 
1977,1.08,0.11,0.86,2.05,8 
