year,beer,wine,spirits,total,decile
2009,1.30,0.30,0.83,2.42,5 
2008,1.32,0.30,0.80,2.42,5 
2007,1.33,0.30,0.78,2.41,5 
2006,1.33,0.28,0.76,2.37,5 
2005,1.30,0.27,0.72,2.29,6 
2004,1.32,0.26,0.71,2.30,5 
2003,1.33,0.26,0.69,2.27,6 
2002,1.47,0.25,0.67,2.39,4 
2001,1.34,0.23,0.67,2.25,6 
2000,1.35,0.23,0.67,2.25,5 
1999,1.35,0.23,0.66,2.23,6 
1998,1.33,0.23,0.63,2.18,6 
1997,1.30,0.22,0.63,2.15,6 
1996,1.31,0.22,0.57,2.09,7 
1995,1.31,0.20,0.62,2.14,6 
1994,1.36,0.19,0.66,2.21,6 
1993,1.33,0.20,0.67,2.20,6 
1992,1.34,0.21,0.69,2.24,6 
1991,1.35,0.22,0.64,2.20,7 
1990,1.37,0.22,0.70,2.30,7 
1989,1.33,0.22,0.69,2.24,7 
1988,1.33,0.25,0.69,2.28,7 
1987,1.36,0.27,0.72,2.35,7 
1986,1.36,0.28,0.72,2.36,7 
1985,1.33,0.26,0.76,2.36,7 
1984,1.34,0.25,0.68,2.27,8 
1983,1.37,0.22,0.78,2.37,8 
1982,1.38,0.21,0.79,2.38,7 
1981,1.40,0.21,0.83,2.45,7 
1980,1.39,0.20,0.84,2.44,7 
1979,1.37,0.20,0.86,2.43,7 
1978,1.31,0.20,0.89,2.40,7 
1977,1.23,0.19,0.83,2.25,8 
