year,beer,wine,spirits,total,decile
2009,1.46,0.20,0.68,2.35,6 
2008,1.47,0.21,0.68,2.36,6 
2007,1.45,0.21,0.67,2.33,6 
2006,1.43,0.21,0.71,2.35,6 
2005,1.41,0.20,0.68,2.29,5 
2004,1.43,0.19,0.64,2.26,6 
2003,1.42,0.18,0.63,2.23,6 
2002,1.45,0.17,0.61,2.23,6 
2001,1.43,0.16,0.60,2.19,6 
2000,1.44,0.17,0.62,2.23,6 
1999,1.42,0.17,0.60,2.19,6 
1998,1.39,0.18,0.58,2.16,6 
1997,1.35,0.18,0.56,2.09,7 
1996,1.35,0.18,0.57,2.11,6 
1995,1.35,0.19,0.57,2.10,7 
1994,1.39,0.18,0.57,2.14,7 
1993,1.37,0.18,0.59,2.14,7 
1992,1.37,0.18,0.61,2.16,7 
1991,1.40,0.18,0.61,2.19,7 
1990,1.41,0.20,0.64,2.25,7 
1989,1.37,0.19,0.62,2.18,7 
1988,1.37,0.22,0.65,2.23,7 
1987,1.40,0.22,0.65,2.27,7 
1986,1.38,0.23,0.67,2.28,7 
1985,1.40,0.22,0.75,2.37,7 
1984,1.44,0.20,0.76,2.41,7 
1983,1.49,0.21,0.79,2.49,7 
1982,1.50,0.28,0.58,2.37,7 
1981,1.57,0.20,0.88,2.66,6 
1980,1.56,0.19,0.89,2.64,6 
1979,1.50,0.18,0.88,2.57,7 
1978,1.47,0.18,0.89,2.54,7 
1977,1.45,0.17,0.91,2.53,6 
