year,beer,wine,spirits,total,decile
2009,1.57,0.58,1.15,3.30,1 
2008,1.68,0.63,1.33,3.64,1 
2007,1.71,0.64,1.27,3.61,1 
2006,1.74,0.66,1.30,3.70,1 
2005,1.71,0.62,1.23,3.56,1 
2004,1.75,0.64,1.26,3.66,1 
2003,1.76,0.62,1.25,3.63,1 
2002,1.75,0.61,1.24,3.60,1 
2001,1.81,0.60,1.22,3.63,1 
2000,1.79,0.62,1.26,3.67,1 
1999,1.82,0.63,1.29,3.74,1 
1998,1.80,0.58,1.23,3.62,1 
1997,1.84,0.58,1.30,3.72,1 
1996,1.91,0.59,1.39,3.89,1 
1995,1.87,0.58,1.39,3.84,1 
1994,1.93,0.57,1.51,4.00,1 
1993,1.95,0.58,1.54,4.06,1 
1992,2.02,0.62,1.61,4.25,1 
1991,2.05,0.63,1.63,4.31,1 
1990,2.17,0.69,1.92,4.78,1 
1989,2.18,0.73,1.92,4.83,1 
1988,2.13,0.78,2.00,4.91,1 
1987,2.05,0.84,2.09,4.99,1 
1986,2.07,0.88,2.11,5.05,1 
1985,1.96,0.84,2.18,4.99,1 
1984,2.01,0.82,2.36,5.19,1 
1983,1.98,0.79,2.45,5.22,1 
1982,1.99,0.77,2.50,5.25,1 
1981,2.08,0.80,2.71,5.59,1 
1980,2.09,0.79,2.94,5.82,1 
1979,2.28,0.88,3.28,6.44,1 
1978,2.20,0.85,3.65,6.69,1 
1977,2.15,0.83,3.85,6.84,1 
