year,beer,wine,spirits,total,decile
2009,1.72,0.84,1.82,4.38,1 
2008,1.71,0.81,1.79,4.31,1 
2007,1.74,0.74,1.75,4.22,1 
2006,1.73,0.72,1.76,4.21,1 
2005,1.72,0.71,1.68,4.11,1 
2004,1.71,0.70,1.65,4.07,1 
2003,1.72,0.70,1.61,4.03,1 
2002,1.73,0.69,1.63,4.05,1 
2001,1.74,0.65,1.61,4.00,1 
2000,1.75,0.56,1.69,4.00,1 
1999,1.75,0.56,1.70,4.01,1 
1998,1.72,0.54,1.73,3.98,1 
1997,1.73,0.55,1.76,4.04,1 
1996,1.73,0.55,1.85,4.13,1 
1995,1.74,0.51,1.87,4.12,1 
1994,1.75,0.48,1.90,4.13,1 
1993,1.83,0.54,2.01,4.38,1 
1992,1.81,0.52,1.96,4.30,1 
1991,1.85,0.49,1.96,4.30,1 
1990,1.85,0.49,1.97,4.30,1 
1989,1.87,0.50,1.99,4.37,1 
1988,1.91,0.49,1.94,4.33,1 
1987,1.93,0.50,1.98,4.41,1 
1986,1.93,0.52,2.06,4.51,1 
1985,1.99,0.53,2.21,4.73,1 
1984,1.99,0.59,2.33,4.91,1 
1983,2.17,0.56,2.35,5.08,1 
1982,1.89,0.58,2.34,4.81,1 
1981,1.89,0.59,2.44,4.92,1 
1980,2.21,0.69,2.86,5.76,1 
1979,1.98,0.62,2.61,5.20,1 
1978,1.99,0.54,2.94,5.46,1 
1977,1.89,0.50,2.93,5.32,1 
