year,beer,wine,spirits,total,decile
2009,0.91,0.46,0.69,2.06,8 
2008,0.92,0.47,0.67,2.05,8 
2007,0.92,0.46,0.68,2.06,8 
2006,0.88,0.45,0.65,1.99,9 
2005,0.90,0.43,0.64,1.97,8 
2004,0.91,0.41,0.62,1.95,9 
2003,0.93,0.40,0.61,1.93,9 
2002,0.95,0.38,0.59,1.91,9 
2001,0.96,0.37,0.56,1.88,9 
2000,0.92,0.38,0.58,1.88,9 
1999,0.93,0.37,0.56,1.85,9 
1998,0.95,0.38,0.51,1.84,9 
1997,0.94,0.37,0.57,1.87,8 
1996,0.97,0.36,0.57,1.90,8 
1995,0.98,0.38,0.57,1.93,8 
1994,0.98,0.35,0.60,1.93,8 
1993,1.00,0.35,0.62,1.98,8 
1992,1.04,0.37,0.68,2.09,8 
1991,1.09,0.37,0.69,2.14,7 
1990,1.13,0.41,0.76,2.30,7 
1989,1.12,0.42,0.82,2.36,7 
1988,1.15,0.45,0.87,2.47,6 
1987,1.15,0.48,0.90,2.53,5 
1986,1.13,0.50,0.92,2.55,6 
1985,1.14,0.49,0.98,2.62,5 
1984,1.15,0.49,1.03,2.67,5 
1983,1.23,0.49,1.05,2.77,5 
1982,1.26,0.48,1.10,2.84,5 
1981,1.25,0.46,1.12,2.83,5 
1980,1.28,0.46,1.18,2.91,5 
1979,1.21,0.44,1.17,2.82,5 
1978,1.18,0.42,1.17,2.77,5 
1977,1.18,0.38,1.17,2.74,5 
