year,beer,wine,spirits,total,decile
2009,1.10,0.34,0.58,2.02,8 
2008,1.14,0.34,0.58,2.06,8 
2007,1.16,0.33,0.56,2.06,9 
2006,1.15,0.33,0.55,2.02,8 
2005,1.13,0.30,0.54,1.97,9 
2004,1.17,0.30,0.53,2.00,8 
2003,1.21,0.27,0.52,2.00,8 
2002,1.25,0.27,0.50,2.02,8 
2001,1.23,0.25,0.51,2.00,8 
2000,1.19,0.23,0.52,1.94,8 
1999,1.16,0.24,0.51,1.90,8 
1998,1.13,0.23,0.50,1.87,8 
1997,1.15,0.23,0.51,1.89,8 
1996,1.14,0.24,0.52,1.90,8 
1995,1.12,0.22,0.53,1.86,8 
1994,1.14,0.21,0.54,1.89,8 
1993,1.14,0.22,0.56,1.92,9 
1992,1.14,0.23,0.59,1.96,8 
1991,1.11,0.24,0.60,1.96,9 
1990,1.16,0.27,0.65,2.08,9 
1989,1.13,0.27,0.66,2.06,8 
1988,1.12,0.28,0.68,2.09,8 
1987,1.11,0.28,0.71,2.10,8 
1986,1.12,0.30,0.74,2.15,8 
1985,1.09,0.27,0.76,2.13,8 
1984,1.11,0.24,0.78,2.13,8 
1983,1.10,0.22,0.80,2.12,9 
1982,1.07,0.21,0.85,2.13,9 
1981,1.10,0.21,0.86,2.17,9 
1980,1.11,0.20,0.86,2.17,9 
1979,1.08,0.22,0.88,2.18,8 
1978,1.06,0.20,0.86,2.12,9 
1977,1.01,0.20,0.84,2.05,8 
