year,beer,wine,spirits,total,decile
2009,1.42,0.28,0.58,2.29,7 
2008,1.44,0.27,0.58,2.29,7 
2007,1.41,0.27,0.56,2.25,7 
2006,1.43,0.26,0.55,2.24,7 
2005,1.42,0.25,0.53,2.19,7 
2004,1.45,0.24,0.52,2.21,6 
2003,1.46,0.23,0.51,2.19,6 
2002,1.50,0.22,0.50,2.21,6 
2001,1.51,0.21,0.49,2.21,6 
2000,1.53,0.22,0.50,2.25,6 
1999,1.54,0.20,0.49,2.23,6 
1998,1.53,0.23,0.49,2.25,5 
1997,1.54,0.20,0.47,2.22,5 
1996,1.56,0.22,0.49,2.26,5 
1995,1.55,0.19,0.49,2.23,5 
1994,1.60,0.20,0.51,2.31,4 
1993,1.60,0.20,0.53,2.33,4 
1992,1.65,0.24,0.55,2.45,4 
1991,1.60,0.25,0.55,2.40,5 
1990,1.64,0.26,0.58,2.47,6 
1989,1.62,0.26,0.58,2.46,5 
1988,1.61,0.28,0.59,2.47,6 
1987,1.61,0.29,0.61,2.51,6 
1986,1.67,0.31,0.65,2.63,5 
1985,1.68,0.30,0.73,2.70,5 
1984,1.74,0.28,0.79,2.82,4 
1983,1.73,0.27,0.79,2.79,5 
1982,1.83,0.18,0.84,2.85,4 
1981,1.84,0.24,0.85,2.93,4 
1980,1.77,0.22,0.81,2.80,6 
1979,1.76,0.14,0.87,2.77,5 
1978,1.70,0.14,0.84,2.68,6 
1977,1.63,0.14,0.81,2.58,6 
