year,beer,wine,spirits,total,decile
2009,0.70,0.17,0.46,1.33,10 
2008,0.75,0.17,0.46,1.37,10 
2007,0.75,0.16,0.43,1.34,10 
2006,0.71,0.16,0.43,1.30,10 
2005,0.69,0.16,0.41,1.26,10 
2004,0.75,0.15,0.39,1.28,10 
2003,0.77,0.15,0.39,1.31,10 
2002,0.78,0.14,0.39,1.31,10 
2001,0.76,0.14,0.39,1.29,10 
2000,0.77,0.11,0.40,1.27,10 
1999,0.79,0.10,0.38,1.27,10 
1998,0.73,0.10,0.37,1.20,10 
1997,0.76,0.10,0.39,1.25,10 
1996,0.77,0.10,0.37,1.24,10 
1995,0.75,0.09,0.37,1.21,10 
1994,0.76,0.09,0.38,1.24,10 
1993,0.78,0.11,0.39,1.28,10 
1992,0.79,0.12,0.42,1.33,10 
1991,0.80,0.12,0.43,1.34,10 
1990,0.80,0.12,0.46,1.39,10 
1989,0.82,0.13,0.47,1.42,10 
1988,0.83,0.14,0.49,1.45,10 
1987,0.84,0.15,0.50,1.49,10 
1986,0.89,0.17,0.52,1.58,10 
1985,0.90,0.15,0.53,1.58,10 
1984,0.88,0.14,0.52,1.53,10 
1983,0.88,0.14,0.50,1.52,10 
1982,1.01,0.15,0.55,1.71,10 
1981,1.01,0.15,0.58,1.74,10 
1980,0.96,0.14,0.60,1.71,10 
1979,0.97,0.16,0.62,1.75,10 
1978,0.96,0.15,0.61,1.72,10 
1977,0.97,0.14,0.59,1.70,10 
