year,beer,wine,spirits,total,decile
2009,1.09,0.51,0.74,2.34,6 
2008,1.09,0.50,0.76,2.35,6 
2007,1.11,0.50,0.74,2.35,6 
2006,1.05,0.48,0.71,2.24,7 
2005,1.10,0.55,0.68,2.33,6 
2004,1.04,0.46,0.69,2.20,7 
2003,1.05,0.46,0.67,2.19,7 
2002,1.08,0.42,0.65,2.16,7 
2001,1.08,0.40,0.65,2.13,7 
2000,1.09,0.41,0.66,2.16,7 
1999,1.10,0.40,0.63,2.13,7 
1998,1.12,0.43,0.63,2.18,6 
1997,1.11,0.42,0.63,2.16,6 
1996,1.13,0.40,0.63,2.16,6 
1995,1.14,0.40,0.63,2.17,6 
1994,1.18,0.39,0.65,2.23,6 
1993,1.19,0.39,0.69,2.27,5 
1992,1.26,0.46,0.72,2.44,4 
1991,1.23,0.43,0.73,2.39,5 
1990,1.27,0.46,0.76,2.49,5 
1989,1.24,0.47,0.75,2.45,5 
1988,1.22,0.50,0.77,2.49,5 
1987,1.23,0.56,0.79,2.58,5 
1986,1.23,0.61,0.82,2.65,5 
1985,1.22,0.59,0.87,2.68,5 
1984,1.24,0.57,0.91,2.71,5 
1983,1.29,0.54,0.94,2.76,5 
1982,1.33,0.53,0.99,2.85,4 
1981,1.38,0.54,1.05,2.97,4 
1980,1.52,0.52,1.08,3.12,3 
1979,1.41,0.48,1.10,2.99,4 
1978,1.39,0.48,1.09,2.96,4 
1977,1.36,0.45,1.08,2.89,4 
