year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2009,2.01,3.02,2.31,1.83,2.33,2.68,2.34,3.9,3.13,2.61,1.97,2.58,2.68,2.33,2.06,2.31,1.99,1.94,1.94,2.48,2.21,2.47,2.22,2.59,2.24,2.42,2.99,2.35,3.3,4.38,2.35,2.42,2.06,2.02,3.03,2.01,1.95,2.59,2.19,2.55,2.37,2.62,1.83,2.29,2.3,1.33,2.69,2.13,2.34,1.79,2.96,2.77
2008,2.04,2.77,2.41,1.88,2.34,2.75,2.39,3.97,3.2,2.64,2.02,2.62,2.65,2.32,2.09,2.29,2.01,1.86,1.86,2.5,2.21,2.53,2.22,2.6,2.28,2.42,2.99,2.36,3.64,4.31,2.35,2.47,2.05,2.06,3,2.04,1.99,2.53,2.19,2.58,2.42,2.64,1.87,2.29,2.32,1.37,2.7,2.14,2.35,1.8,2.99,2.89
2007,2.02,2.64,2.45,1.84,2.34,2.75,2.35,3.95,3.23,2.72,2.06,2.62,2.59,2.36,2.1,2.24,1.96,1.85,1.85,2.49,2.21,2.48,2.19,2.49,2.26,2.41,2.97,2.33,3.61,4.22,2.34,2.43,2.06,2.06,2.88,2.03,1.93,2.59,2.16,2.56,2.44,2.59,1.89,2.25,2.31,1.34,2.68,2.13,2.35,1.76,2.98,2.82
2006,1.97,2.73,2.47,1.82,2.29,2.69,2.32,3.89,3.3,2.73,2.06,2.56,2.53,2.33,2,2.19,1.94,1.83,1.83,2.47,2.19,2.55,2.17,2.4,2.25,2.37,2.88,2.35,3.7,4.21,2.32,2.39,1.99,2.02,2.74,2,1.88,2.53,2.12,2.52,2.46,2.48,1.89,2.24,2.28,1.3,2.62,2.1,2.24,1.74,2.96,2.74
2005,1.91,2.65,2.47,1.79,2.23,2.7,2.23,3.84,3.27,2.71,2.01,2.52,2.44,2.26,2.01,2.13,1.88,1.8,1.8,2.42,2.11,2.5,2.17,2.47,2.17,2.29,2.65,2.29,3.56,4.11,2.28,2.44,1.97,1.97,2.65,1.97,1.81,2.46,2.08,2.45,2.41,2.52,1.93,2.19,2.24,1.26,2.56,2.06,2.33,1.73,2.92,2.4
2004,1.9,2.73,2.43,1.8,2.24,2.68,2.24,3.93,3.26,2.7,2.06,2.56,2.4,2.21,2.02,2.09,1.85,1.81,1.81,2.41,2.15,2.52,2.15,2.47,2.13,2.3,2.63,2.26,3.66,4.07,2.29,2.35,1.95,2,2.5,1.96,1.69,2.42,2.08,2.4,2.44,2.43,1.92,2.21,2.23,1.28,2.52,2.06,2.2,1.75,2.83,2.55
2003,1.89,2.43,2.48,1.76,2.22,2.6,2.22,3.84,3.11,2.63,2.11,2.39,2.33,2.34,1.96,2.05,1.88,1.74,1.74,2.36,2.11,2.48,2.13,2.41,2.14,2.27,2.59,2.23,3.63,4.03,2.24,2.4,1.93,2,2.56,2.03,1.93,2.35,2.04,2.42,2.35,2.4,1.96,2.19,2.22,1.31,2.47,2.03,2.19,1.71,2.81,2.82
2002,1.92,2.87,2.49,1.73,2.2,2.64,2.2,3.67,3.01,2.59,2.12,2.28,2.32,2.25,1.93,2.02,1.88,1.76,1.76,2.31,2.11,2.46,2.07,2.4,2.12,2.39,2.64,2.23,3.6,4.05,2.24,2.4,1.91,2.02,2.51,2.02,1.82,2.34,2.06,2.38,2.36,2.37,1.85,2.21,2.2,1.31,2.44,2,2.16,1.74,2.81,2.56
2001,1.86,2.71,2.5,1.72,2.2,2.79,2.19,3.61,2.93,2.56,2.1,2.28,2.3,2.27,1.97,1.98,1.79,1.63,1.63,2.26,2.11,2.43,2.1,2.38,2.11,2.25,2.55,2.19,3.63,4,2.2,2.39,1.88,2,2.41,2,1.65,2.3,2,2.35,2.32,2.31,1.79,2.21,2.18,1.29,2.39,1.98,2.13,1.7,2.74,2.52
2000,1.88,2.63,2.5,1.74,2.19,2.6,2.18,3.53,2.89,2.55,2.17,2.33,2.32,2.24,1.98,1.98,1.82,1.74,1.74,2.29,2.09,2.55,2.12,2.37,2.13,2.25,2.53,2.23,3.67,4,2.19,2.38,1.88,1.94,2.41,1.99,1.69,2.28,1.9,2.31,2.37,2.27,1.86,2.25,2.18,1.27,2.34,1.97,2.16,1.64,2.76,2.46
1999,1.87,2.82,2.51,1.75,2.18,2.45,2.18,3.45,2.9,2.53,2.2,2.26,2.36,2.27,1.94,1.95,1.84,1.74,1.74,2.26,2.08,2.39,2.11,2.36,2.15,2.23,2.52,2.19,3.74,4.01,2.14,2.36,1.85,1.9,2.42,2,1.68,2.27,1.87,2.28,2.38,2.27,1.86,2.23,2.16,1.27,2.32,1.96,2.13,1.66,2.72,2.43
1998,1.85,2.74,2.44,1.73,2.17,2.53,2.18,3.55,2.82,2.47,2.14,2.22,2.25,2.25,1.91,1.9,1.79,1.72,1.72,2.16,2.08,2.39,2.12,2.27,2.08,2.18,2.44,2.16,3.62,3.98,2.12,2.31,1.84,1.87,2.35,1.97,1.68,2.25,1.86,2.24,2.35,2.24,1.84,2.25,2.14,1.2,2.34,1.94,2.18,1.63,2.65,2.4
1997,1.81,2.56,2.44,1.71,2.24,2.48,2.17,3.75,2.81,2.51,2.14,2.3,2,2.26,1.9,1.85,1.71,1.72,1.72,2.19,2.07,2.39,2.06,2.33,2.07,2.15,2.42,2.09,3.72,4.04,2.15,2.33,1.87,1.89,2.3,1.91,1.65,2.24,1.84,2.3,2.3,2.18,1.82,2.22,2.14,1.25,2.33,1.9,2.16,1.6,2.71,2.33
