year,beer,wine,spirits,total,decile
2009,1.05,0.55,0.73,2.33,6 
2008,1.07,0.55,0.72,2.34,6 
2007,1.07,0.55,0.72,2.34,6 
2006,1.05,0.54,0.70,2.29,6 
2005,1.02,0.53,0.68,2.23,6 
2004,1.06,0.51,0.67,2.24,6 
2003,1.06,0.50,0.65,2.22,6 
2002,1.07,0.49,0.63,2.20,6 
2001,1.08,0.48,0.64,2.20,6 
2000,1.07,0.48,0.64,2.19,6 
1999,1.10,0.46,0.62,2.18,6 
1998,1.10,0.45,0.61,2.17,6 
1997,1.12,0.50,0.62,2.24,5 
1996,1.11,0.49,0.64,2.24,5 
1995,1.14,0.45,0.64,2.23,4 
1994,1.09,0.47,0.68,2.24,5 
1993,1.17,0.48,0.69,2.35,4 
1992,1.28,0.51,0.75,2.54,3 
1991,1.22,0.49,0.75,2.46,4 
1990,1.32,0.59,0.87,2.78,2 
1989,1.31,0.61,0.87,2.79,2 
1988,1.34,0.68,0.89,2.90,2 
1987,1.36,0.74,0.93,3.03,2 
1986,1.36,0.79,0.96,3.11,2 
1985,1.32,0.78,1.02,3.12,2 
1984,1.38,0.74,1.07,3.19,2 
1983,1.37,0.75,1.11,3.23,2 
1982,1.37,0.72,1.14,3.23,3 
1981,1.43,0.72,1.21,3.36,2 
1980,1.42,0.71,1.25,3.38,2 
1979,1.42,0.70,1.28,3.40,2 
1978,1.36,0.68,1.32,3.36,2 
1977,1.31,0.67,1.28,3.25,2 
