year,beer,wine,spirits,total,decile
2009,1.22,0.46,1.00,2.68,3 
2008,1.27,0.46,1.01,2.75,2 
2007,1.29,0.47,1.00,2.75,2 
2006,1.27,0.45,0.97,2.69,3 
2005,1.30,0.41,0.99,2.70,2 
2004,1.30,0.43,0.95,2.68,2 
2003,1.34,0.40,0.87,2.60,2 
2002,1.35,0.39,0.90,2.64,2 
2001,1.42,0.41,0.96,2.79,1 
2000,1.35,0.37,0.89,2.60,2 
1999,1.33,0.37,0.75,2.45,3 
1998,1.33,0.37,0.83,2.53,2 
1997,1.30,0.37,0.81,2.48,2 
1996,1.36,0.37,0.84,2.57,2 
1995,1.34,0.35,0.78,2.47,2 
1994,1.36,0.35,0.84,2.55,2 
1993,1.40,0.36,0.86,2.63,2 
1992,1.34,0.36,0.81,2.52,3 
1991,1.39,0.35,0.87,2.61,3 
1990,1.35,0.29,0.75,2.39,6 
1989,1.40,0.37,0.84,2.60,3 
1988,1.42,0.39,0.91,2.72,3 
1987,1.43,0.44,0.93,2.80,3 
1986,1.47,0.46,0.94,2.87,3 
1985,1.47,0.50,1.18,3.15,2 
1984,1.51,0.46,1.12,3.09,2 
1983,1.57,0.46,1.12,3.15,3 
1982,1.64,0.46,1.18,3.28,2 
1981,1.63,0.44,1.26,3.33,2 
1980,1.57,0.47,1.31,3.35,2 
1979,1.68,0.47,1.37,3.52,2 
1978,1.64,0.47,1.43,3.54,1 
1977,1.43,0.36,1.22,3.01,3 
