year,beer,wine,spirits,total,decile
2009,1.31,0.57,1.25,3.13,1 
2008,1.36,0.58,1.25,3.20,1 
2007,1.39,0.59,1.25,3.23,1 
2006,1.43,0.60,1.28,3.30,1 
2005,1.43,0.59,1.25,3.27,1 
2004,1.41,0.57,1.28,3.26,1 
2003,1.37,0.56,1.17,3.11,1 
2002,1.39,0.52,1.10,3.01,1 
2001,1.38,0.49,1.06,2.93,1 
2000,1.36,0.48,1.05,2.89,1 
1999,1.40,0.48,1.03,2.90,1 
1998,1.36,0.47,0.98,2.82,1 
1997,1.37,0.46,0.99,2.81,1 
1996,1.39,0.45,0.94,2.78,1 
1995,1.30,0.40,0.92,2.62,2 
1994,1.43,0.38,0.95,2.76,1 
1993,1.46,0.35,0.95,2.76,1 
1992,1.40,0.36,0.97,2.73,2 
1991,1.40,0.35,0.95,2.70,2 
1990,1.44,0.37,1.14,2.95,2 
1989,1.40,0.38,1.13,2.91,2 
1988,1.44,0.40,1.19,3.03,1 
1987,1.44,0.42,1.22,3.08,2 
1986,1.45,0.44,1.23,3.13,2 
1985,1.46,0.41,1.30,3.16,2 
1984,1.51,0.38,1.28,3.17,2 
1983,1.53,0.35,1.34,3.22,2 
1982,1.53,0.34,1.36,3.23,3 
1981,1.51,0.32,1.39,3.23,3 
1980,1.45,0.29,1.38,3.12,3 
1979,1.38,0.27,1.34,2.99,4 
1978,1.33,0.25,1.33,2.91,4 
1977,1.32,0.24,1.35,2.91,4 
