year,beer,wine,spirits,total,decile
2009,1.21,0.48,0.92,2.61,3 
2008,1.25,0.49,0.90,2.64,3 
2007,1.30,0.49,0.93,2.72,2 
2006,1.33,0.48,0.92,2.73,2 
2005,1.34,0.47,0.91,2.71,2 
2004,1.35,0.46,0.89,2.70,2 
2003,1.32,0.44,0.86,2.63,2 
2002,1.32,0.43,0.84,2.59,2 
2001,1.33,0.40,0.82,2.56,2 
2000,1.32,0.40,0.82,2.55,2 
1999,1.33,0.40,0.80,2.53,2 
1998,1.30,0.38,0.79,2.47,2 
1997,1.34,0.37,0.80,2.51,2 
1996,1.36,0.37,0.81,2.54,2 
1995,1.34,0.35,0.82,2.50,2 
1994,1.40,0.33,0.87,2.60,2 
1993,1.44,0.33,0.92,2.68,2 
1992,1.45,0.34,0.96,2.75,1 
1991,1.43,0.34,0.92,2.69,2 
1990,1.54,0.39,1.04,2.96,2 
1989,1.51,0.39,1.00,2.90,2 
1988,1.51,0.41,1.00,2.92,2 
1987,1.51,0.42,1.03,2.95,2 
1986,1.50,0.41,1.05,2.96,2 
1985,1.47,0.41,1.16,3.04,3 
1984,1.48,0.40,1.24,3.12,2 
1983,1.56,0.40,1.23,3.19,2 
1982,1.56,0.40,1.33,3.29,2 
1981,1.55,0.39,1.38,3.31,3 
1980,1.42,0.37,1.43,3.22,3 
1979,1.47,0.37,1.51,3.34,2 
1978,1.41,0.34,1.48,3.23,3 
1977,1.33,0.33,1.47,3.13,2 
