year,beer,wine,spirits,total,decile
2009,1.22,0.39,0.73,2.33,6 
2008,1.21,0.38,0.73,2.32,6 
2007,1.22,0.41,0.73,2.36,6 
2006,1.23,0.37,0.73,2.33,6 
2005,1.22,0.34,0.70,2.26,6 
2004,1.22,0.31,0.67,2.21,6 
2003,1.25,0.35,0.74,2.34,5 
2002,1.27,0.33,0.65,2.25,6 
2001,1.27,0.32,0.68,2.27,5 
2000,1.28,0.32,0.63,2.24,6 
1999,1.29,0.33,0.66,2.27,5 
1998,1.28,0.34,0.64,2.25,4 
1997,1.26,0.35,0.65,2.26,5 
1996,1.27,0.35,0.68,2.30,4 
1995,1.30,0.33,0.66,2.29,4 
1994,1.32,0.34,0.69,2.35,4 
1993,1.32,0.34,0.72,2.38,4 
1992,1.34,0.35,0.74,2.43,4 
1991,1.38,0.34,0.76,2.48,4 
1990,1.43,0.36,0.82,2.62,4 
1989,1.38,0.35,0.82,2.56,4 
1988,1.42,0.37,0.85,2.64,4 
1987,1.41,0.39,0.87,2.66,4 
1986,1.40,0.39,0.90,2.68,4 
1985,1.38,0.37,0.98,2.72,5 
1984,1.40,0.37,1.01,2.77,5 
1983,1.42,0.35,1.03,2.80,5 
1982,1.41,0.35,1.06,2.83,5 
1981,1.43,0.35,1.12,2.91,5 
1980,1.43,0.33,1.24,3.00,4 
1979,1.45,0.33,1.17,2.94,4 
1978,1.38,0.31,1.19,2.88,4 
1977,1.35,0.30,1.22,2.87,4 
