year,beer,wine,spirits,total,decile
2009,1.24,0.42,0.83,2.48,4 
2008,1.26,0.42,0.82,2.50,5 
2007,1.27,0.43,0.80,2.49,4 
2006,1.26,0.42,0.79,2.47,4 
2005,1.24,0.41,0.77,2.42,5 
2004,1.24,0.41,0.76,2.41,4 
2003,1.24,0.39,0.73,2.36,5 
2002,1.23,0.39,0.69,2.31,5 
2001,1.20,0.37,0.69,2.26,5 
2000,1.17,0.39,0.73,2.29,5 
1999,1.16,0.37,0.73,2.26,5 
1998,1.14,0.34,0.68,2.16,6 
1997,1.15,0.33,0.71,2.19,5 
1996,1.17,0.33,0.71,2.22,5 
1995,1.17,0.29,0.72,2.19,6 
1994,1.13,0.27,0.77,2.17,6 
1993,1.15,0.29,0.79,2.22,6 
1992,1.16,0.29,0.78,2.23,6 
1991,1.18,0.30,0.77,2.25,6 
1990,1.21,0.31,0.82,2.34,6 
1989,1.25,0.34,0.85,2.44,5 
1988,1.28,0.36,0.91,2.54,5 
1987,1.26,0.38,0.91,2.55,5 
1986,1.28,0.36,0.91,2.56,5 
1985,1.29,0.33,0.94,2.56,6 
1984,1.25,0.31,1.01,2.57,6 
1983,1.32,0.29,1.03,2.63,6 
1982,1.30,0.30,1.02,2.63,6 
1981,1.24,0.28,1.05,2.57,7 
1980,1.32,0.29,1.06,2.67,6 
1979,1.30,0.27,1.08,2.65,6 
1978,1.31,0.27,1.05,2.62,6 
1977,1.37,0.23,1.04,2.64,6 
