year,beer,wine,spirits,total,decile
2009,1.02,0.61,0.84,2.47,5 
2008,1.07,0.62,0.84,2.53,4 
2007,1.01,0.61,0.86,2.48,5 
2006,1.10,0.61,0.84,2.55,3 
2005,1.07,0.59,0.85,2.50,3 
2004,1.10,0.58,0.84,2.52,3 
2003,1.10,0.56,0.82,2.48,3 
2002,1.13,0.54,0.80,2.46,3 
2001,1.12,0.52,0.78,2.43,3 
2000,1.16,0.51,0.87,2.55,2 
1999,1.09,0.51,0.79,2.39,3 
1998,1.14,0.50,0.75,2.39,3 
1997,1.13,0.49,0.76,2.39,3 
1996,1.11,0.48,0.77,2.35,3 
1995,1.13,0.44,0.78,2.35,3 
1994,1.14,0.44,0.80,2.38,3 
1993,1.14,0.44,0.80,2.38,4 
1992,1.12,0.44,0.82,2.38,5 
1991,1.19,0.43,0.87,2.49,3 
1990,1.22,0.45,0.97,2.63,3 
1989,1.26,0.47,1.02,2.75,3 
1988,1.29,0.50,1.07,2.86,3 
1987,1.29,0.51,1.12,2.93,3 
1986,1.31,0.53,1.12,2.96,3 
1985,1.30,0.51,1.21,3.01,3 
1984,1.30,0.51,1.24,3.04,3 
1983,1.36,0.50,1.21,3.07,3 
1982,1.35,0.49,1.22,3.07,3 
1981,1.44,0.49,1.24,3.17,3 
1980,1.47,0.45,1.27,3.19,3 
1979,1.39,0.42,1.23,3.04,4 
1978,1.37,0.40,1.25,3.02,4 
1977,1.34,0.37,1.24,2.95,3 
