year,beer,wine,spirits,total,decile
2009,1.19,0.37,1.04,2.59,4 
2008,1.21,0.37,1.03,2.60,4 
2007,1.16,0.36,0.97,2.49,4 
2006,1.15,0.32,0.93,2.40,5 
2005,1.18,0.32,0.96,2.47,4 
2004,1.23,0.31,0.93,2.47,3 
2003,1.21,0.29,0.90,2.41,4 
2002,1.25,0.28,0.87,2.40,4 
2001,1.25,0.26,0.87,2.38,4 
2000,1.24,0.26,0.87,2.37,4 
1999,1.23,0.27,0.86,2.36,4 
1998,1.16,0.27,0.84,2.27,4 
1997,1.23,0.27,0.83,2.33,3 
1996,1.25,0.26,0.83,2.34,4 
1995,1.24,0.26,0.83,2.32,3 
1994,1.27,0.25,0.83,2.35,4 
1993,1.24,0.24,0.84,2.33,5 
1992,1.25,0.25,0.85,2.35,5 
1991,1.30,0.24,0.81,2.35,5 
1990,1.32,0.27,0.96,2.55,4 
1989,1.28,0.27,0.88,2.43,5 
1988,1.30,0.30,0.89,2.49,5 
1987,1.31,0.32,0.94,2.56,5 
1986,1.30,0.33,0.92,2.56,6 
1985,1.31,0.31,1.06,2.68,5 
1984,1.34,0.28,1.07,2.68,5 
1983,1.37,0.27,1.10,2.74,6 
1982,1.36,0.27,1.11,2.75,6 
1981,1.39,0.27,1.18,2.83,5 
1980,1.40,0.26,1.20,2.85,5 
1979,1.35,0.24,1.16,2.75,5 
1978,1.31,0.23,1.15,2.69,5 
1977,1.30,0.20,1.15,2.65,5 
