year,beer,wine,spirits,total,decile
2009,1.66,0.45,0.88,2.99,2 
2008,1.68,0.44,0.87,2.99,2 
2007,1.68,0.43,0.86,2.97,2 
2006,1.64,0.41,0.83,2.88,2 
2005,1.53,0.35,0.78,2.65,2 
2004,1.54,0.34,0.74,2.63,2 
2003,1.55,0.33,0.72,2.59,2 
2002,1.61,0.33,0.70,2.64,2 
2001,1.57,0.30,0.68,2.55,2 
2000,1.55,0.29,0.68,2.53,2 
1999,1.56,0.29,0.67,2.52,2 
1998,1.51,0.28,0.65,2.44,2 
1997,1.49,0.29,0.63,2.42,3 
1996,1.49,0.27,0.64,2.40,3 
1995,1.49,0.26,0.78,2.54,2 
1994,1.57,0.24,0.70,2.51,2 
1993,1.49,0.25,0.73,2.47,3 
1992,1.59,0.26,0.75,2.61,2 
1991,1.61,0.28,0.76,2.64,3 
1990,1.60,0.29,0.77,2.67,3 
1989,1.56,0.29,0.72,2.57,4 
1988,1.59,0.32,0.76,2.66,4 
1987,1.57,0.33,0.77,2.67,4 
1986,1.58,0.34,0.81,2.73,4 
1985,1.60,0.33,0.88,2.81,4 
1984,1.70,0.32,0.93,2.95,3 
1983,1.79,0.32,0.99,3.09,3 
1982,1.82,0.32,1.02,3.17,3 
1981,1.90,0.33,1.05,3.28,3 
1980,1.82,0.35,1.04,3.21,3 
1979,1.83,0.41,1.05,3.29,3 
1978,1.82,0.20,1.07,3.10,3 
1977,1.83,0.20,1.10,3.12,3 
