year,beer,wine,spirits,total,decile
2009,0.92,0.57,0.87,2.35,5 
2008,0.94,0.55,0.86,2.35,6 
2007,0.93,0.55,0.86,2.34,6 
2006,0.94,0.53,0.84,2.32,6 
2005,0.95,0.51,0.82,2.28,6 
2004,0.96,0.52,0.82,2.29,6 
2003,0.95,0.50,0.79,2.24,6 
2002,0.98,0.49,0.77,2.24,6 
2001,0.99,0.47,0.75,2.20,6 
2000,0.96,0.47,0.77,2.19,6 
1999,0.97,0.46,0.71,2.14,7 
1998,0.98,0.46,0.69,2.12,7 
1997,0.98,0.42,0.74,2.15,6 
1996,1.00,0.44,0.76,2.20,6 
1995,1.03,0.44,0.75,2.22,5 
1994,1.04,0.43,0.79,2.27,5 
1993,1.07,0.42,0.79,2.29,5 
1992,1.07,0.44,0.83,2.34,5 
1991,1.09,0.43,0.82,2.34,6 
1990,1.15,0.48,0.95,2.58,4 
1989,1.13,0.50,0.96,2.59,3 
1988,1.15,0.51,0.93,2.58,4 
1987,1.18,0.54,1.01,2.72,4 
1986,1.18,0.56,1.03,2.77,4 
1985,1.18,0.55,1.08,2.81,4 
1984,1.19,0.55,1.10,2.83,4 
1983,1.21,0.52,1.13,2.86,4 
1982,1.22,0.52,1.13,2.87,4 
1981,1.22,0.51,1.15,2.87,5 
1980,1.23,0.47,1.13,2.83,5 
1979,1.18,0.43,1.10,2.71,6 
1978,1.17,0.42,1.10,2.69,6 
1977,1.16,0.40,1.13,2.69,5 
