year,beer,wine,spirits,total,decile
2009,1.37,0.32,0.74,2.42,5 
2008,1.43,0.31,0.72,2.47,5 
2007,1.41,0.31,0.71,2.43,5 
2006,1.38,0.31,0.70,2.39,5 
2005,1.48,0.29,0.67,2.44,4 
2004,1.45,0.25,0.66,2.35,5 
2003,1.52,0.27,0.61,2.40,4 
2002,1.53,0.26,0.61,2.40,3 
2001,1.54,0.25,0.61,2.39,3 
2000,1.53,0.25,0.61,2.38,3 
1999,1.53,0.25,0.59,2.36,4 
1998,1.49,0.24,0.58,2.31,4 
1997,1.51,0.24,0.58,2.33,3 
1996,1.55,0.24,0.59,2.38,3 
1995,1.56,0.24,0.60,2.40,3 
1994,1.46,0.19,0.60,2.25,5 
1993,1.53,0.23,0.63,2.39,3 
1992,1.56,0.25,0.66,2.47,4 
1991,1.64,0.26,0.64,2.54,3 
1990,1.68,0.28,0.68,2.64,3 
1989,1.64,0.29,0.65,2.58,4 
1988,1.63,0.33,0.67,2.64,4 
1987,1.63,0.35,0.67,2.65,4 
1986,1.64,0.35,0.70,2.70,4 
1985,1.70,0.36,0.77,2.83,4 
1984,1.71,0.28,0.76,2.75,5 
1983,1.72,0.31,0.98,3.00,4 
1982,1.72,0.34,0.94,3.00,4 
1981,1.74,0.32,0.95,3.01,4 
1980,1.66,0.32,1.00,2.99,4 
1979,1.71,0.30,1.01,3.02,4 
1978,1.68,0.32,0.98,2.99,4 
1977,1.65,0.32,0.96,2.93,4 
