year,beer,wine,spirits,total,decile
2009,1.63,0.25,1.16,3.03,1 
2008,1.63,0.24,1.14,3.00,1 
2007,1.57,0.23,1.08,2.88,2 
2006,1.52,0.21,1.01,2.74,2 
2005,1.51,0.19,0.95,2.65,2 
2004,1.50,0.18,0.83,2.50,3 
2003,1.54,0.17,0.86,2.56,2 
2002,1.51,0.16,0.84,2.51,3 
2001,1.46,0.15,0.80,2.41,3 
2000,1.47,0.15,0.79,2.41,3 
1999,1.49,0.15,0.78,2.42,3 
1998,1.45,0.13,0.76,2.35,3 
1997,1.40,0.13,0.77,2.30,4 
1996,1.40,0.13,0.77,2.29,4 
1995,1.35,0.16,0.77,2.28,4 
1994,1.39,0.15,0.78,2.32,4 
1993,1.37,0.15,0.84,2.36,4 
1992,1.38,0.15,0.85,2.39,5 
1991,1.43,0.16,0.86,2.44,4 
1990,1.47,0.17,0.93,2.56,4 
1989,1.38,0.17,0.84,2.38,6 
1988,1.38,0.19,0.86,2.43,6 
1987,1.35,0.20,0.87,2.42,6 
1986,1.32,0.22,0.86,2.40,7 
1985,1.33,0.19,0.96,2.48,7 
1984,1.40,0.17,0.98,2.55,6 
1983,1.48,0.17,1.05,2.71,6 
1982,1.52,0.18,1.09,2.79,5 
1981,1.53,0.18,1.14,2.85,5 
1980,1.53,0.17,1.14,2.83,5 
1979,1.45,0.16,1.10,2.71,6 
1978,1.45,0.16,1.15,2.76,5 
1977,1.35,0.15,1.12,2.62,6 
