year,beer,wine,spirits,total,decile
2009,1.28,0.26,0.47,2.01,9 
2008,1.32,0.26,0.46,2.04,9 
2007,1.33,0.25,0.45,2.03,9 
2006,1.32,0.24,0.44,2.00,9 
2005,1.31,0.23,0.43,1.97,9 
2004,1.33,0.22,0.41,1.96,9 
2003,1.33,0.22,0.48,2.03,8 
2002,1.34,0.21,0.47,2.02,8 
2001,1.33,0.21,0.47,2.00,8 
2000,1.30,0.19,0.50,1.99,8 
1999,1.32,0.20,0.48,2.00,8 
1998,1.31,0.19,0.47,1.97,8 
1997,1.28,0.18,0.46,1.91,8 
1996,1.30,0.18,0.45,1.93,8 
1995,1.28,0.17,0.46,1.90,8 
1994,1.31,0.16,0.37,1.85,9 
1993,1.29,0.16,0.50,1.95,8 
1992,1.32,0.17,0.50,1.98,8 
1991,1.33,0.18,0.51,2.03,8 
1990,1.34,0.22,0.53,2.09,8 
1989,1.35,0.22,0.50,2.07,8 
1988,1.34,0.24,0.54,2.11,8 
1987,1.35,0.24,0.59,2.17,8 
1986,1.32,0.25,0.60,2.17,8 
1985,1.37,0.25,0.59,2.20,8 
1984,1.41,0.25,0.61,2.26,8 
1983,1.36,0.22,0.65,2.22,8 
1982,1.40,0.22,0.66,2.28,8 
1981,1.35,0.22,0.68,2.25,8 
1980,1.39,0.22,0.72,2.33,8 
1979,1.36,0.20,0.71,2.26,8 
1978,1.19,0.20,0.70,2.09,9 
1977,1.17,0.18,0.70,2.04,9 
