year,beer,wine,spirits,total,decile
2009,1.28,0.49,0.82,2.59,4 
2008,1.21,0.49,0.82,2.53,4 
2007,1.29,0.49,0.81,2.59,3 
2006,1.26,0.49,0.78,2.53,4 
2005,1.23,0.48,0.74,2.46,4 
2004,1.22,0.49,0.71,2.42,4 
2003,1.20,0.47,0.68,2.35,5 
2002,1.22,0.46,0.66,2.34,5 
2001,1.22,0.43,0.65,2.30,5 
2000,1.20,0.44,0.64,2.28,5 
1999,1.21,0.43,0.63,2.27,5 
1998,1.20,0.43,0.61,2.25,5 
1997,1.19,0.44,0.60,2.24,5 
1996,1.23,0.44,0.61,2.27,5 
1995,1.21,0.42,0.59,2.23,5 
1994,1.23,0.37,0.62,2.21,6 
1993,1.24,0.43,0.64,2.31,5 
1992,1.29,0.46,0.67,2.41,4 
1991,1.28,0.44,0.67,2.38,5 
1990,1.32,0.47,0.73,2.51,5 
1989,1.26,0.46,0.69,2.41,6 
1988,1.27,0.51,0.71,2.48,5 
1987,1.26,0.53,0.72,2.50,6 
1986,1.26,0.54,0.73,2.54,6 
1985,1.25,0.55,0.77,2.57,6 
1984,1.28,0.53,0.82,2.63,6 
1983,1.31,0.53,0.85,2.69,6 
1982,1.33,0.53,0.88,2.74,6 
1981,1.38,0.50,0.92,2.80,6 
1980,1.37,0.51,0.94,2.82,5 
1979,1.39,0.47,0.96,2.82,5 
1978,1.34,0.47,0.98,2.79,5 
1977,1.33,0.46,0.96,2.74,5 
