year,beer,wine,spirits,total,decile
2009,1.35,0.23,0.61,2.19,8 
2008,1.36,0.23,0.60,2.19,8 
2007,1.34,0.24,0.59,2.16,8 
2006,1.30,0.24,0.57,2.12,8 
2005,1.29,0.24,0.55,2.08,8 
2004,1.30,0.24,0.54,2.08,8 
2003,1.30,0.23,0.51,2.04,8 
2002,1.35,0.22,0.49,2.06,8 
2001,1.32,0.20,0.48,2.00,8 
2000,1.21,0.21,0.47,1.90,9 
1999,1.20,0.21,0.46,1.87,9 
1998,1.21,0.19,0.45,1.86,9 
1997,1.20,0.19,0.44,1.84,9 
1996,1.22,0.19,0.45,1.86,9 
1995,1.23,0.18,0.45,1.86,9 
1994,1.28,0.18,0.47,1.93,8 
1993,1.31,0.17,0.48,1.96,8 
1992,1.30,0.18,0.51,1.99,8 
1991,1.36,0.17,0.52,2.05,8 
1990,1.42,0.18,0.55,2.15,8 
1989,1.36,0.18,0.56,2.10,7 
1988,1.39,0.19,0.53,2.11,8 
1987,1.38,0.20,0.61,2.20,8 
1986,1.38,0.21,0.64,2.23,8 
1985,1.37,0.21,0.65,2.22,8 
1984,1.37,0.21,0.66,2.25,8 
1983,1.41,0.22,0.67,2.29,8 
1982,1.44,0.23,0.70,2.36,8 
1981,1.42,0.23,0.72,2.37,8 
1980,1.45,0.22,0.71,2.39,7 
1979,1.42,0.22,0.73,2.37,8 
1978,1.36,0.21,0.74,2.32,8 
1977,1.35,0.20,0.74,2.29,8 
