year,beer,wine,spirits,total,decile
2009,1.10,0.53,0.92,2.55,4 
2008,1.13,0.54,0.91,2.58,4 
2007,1.13,0.54,0.90,2.56,4 
2006,1.13,0.53,0.86,2.52,4 
2005,1.13,0.51,0.81,2.45,4 
2004,1.12,0.49,0.79,2.40,5 
2003,1.12,0.51,0.79,2.42,3 
2002,1.17,0.48,0.73,2.38,4 
2001,1.19,0.46,0.70,2.35,4 
2000,1.15,0.46,0.70,2.31,5 
1999,1.14,0.45,0.69,2.28,4 
1998,1.14,0.47,0.63,2.24,5 
1997,1.22,0.44,0.64,2.30,4 
1996,1.16,0.42,0.65,2.24,5 
1995,1.19,0.38,0.60,2.17,6 
1994,1.23,0.38,0.66,2.27,5 
1993,1.22,0.36,0.69,2.27,6 
1992,1.24,0.39,0.70,2.33,6 
1991,1.33,0.37,0.71,2.41,4 
1990,1.31,0.44,0.79,2.54,5 
1989,1.37,0.46,0.87,2.69,3 
1988,1.39,0.49,0.97,2.85,3 
1987,1.40,0.51,0.94,2.85,3 
1986,1.41,0.53,0.93,2.86,3 
1985,1.40,0.51,1.03,2.94,3 
1984,1.37,0.52,1.03,2.92,3 
1983,1.48,0.50,1.06,3.04,3 
1982,1.34,0.55,1.04,2.93,4 
1981,1.36,0.52,1.04,2.92,4 
1980,1.46,0.53,1.14,3.14,3 
1979,1.46,0.50,1.11,3.07,3 
1978,1.41,0.50,1.16,3.07,3 
1977,4 
