year,beer,wine,spirits,total,decile
2009,1.36,0.24,0.77,2.37,5 
2008,1.41,0.24,0.77,2.42,5 
2007,1.43,0.24,0.77,2.44,5 
2006,1.46,0.24,0.77,2.46,5 
2005,1.41,0.24,0.76,2.41,5 
2004,1.44,0.24,0.76,2.44,4 
2003,1.38,0.23,0.74,2.35,5 
2002,1.47,0.22,0.67,2.36,4 
2001,1.45,0.22,0.65,2.32,4 
2000,1.45,0.22,0.70,2.37,4 
1999,1.43,0.22,0.72,2.38,3 
1998,1.42,0.21,0.72,2.35,3 
1997,1.40,0.19,0.71,2.30,4 
1996,1.39,0.21,0.71,2.31,4 
1995,1.38,0.18,0.67,2.23,5 
1994,1.38,0.17,0.74,2.29,4 
1993,1.36,0.20,0.75,2.30,5 
1992,1.34,0.20,0.79,2.33,5 
1991,1.34,0.22,0.84,2.41,5 
1990,1.44,0.25,0.92,2.61,4 
1989,1.37,0.24,0.86,2.47,5 
1988,1.37,0.26,0.89,2.51,5 
1987,1.34,0.27,0.88,2.49,6 
1986,1.30,0.27,0.92,2.50,6 
1985,1.26,0.25,0.99,2.49,6 
1984,1.26,0.24,1.00,2.50,7 
1983,1.26,0.20,1.01,2.47,7 
1982,1.24,0.20,1.00,2.44,7 
1981,1.25,0.19,1.05,2.49,7 
1980,1.22,0.18,1.06,2.46,7 
1979,1.25,0.17,1.18,2.60,7 
1978,1.20,0.17,1.21,2.59,7 
1977,1.17,0.17,1.14,2.49,7 
