year,beer,wine,spirits,total,decile
2009,1.53,0.22,0.88,2.62,3 
2008,1.56,0.22,0.86,2.64,3 
2007,1.51,0.22,0.86,2.59,4 
2006,1.51,0.19,0.79,2.48,4 
2005,1.50,0.19,0.83,2.52,3 
2004,1.50,0.18,0.76,2.43,4 
2003,1.51,0.16,0.73,2.40,4 
2002,1.51,0.16,0.70,2.37,4 
2001,1.46,0.15,0.71,2.31,4 
2000,1.44,0.15,0.68,2.27,5 
1999,1.43,0.14,0.70,2.27,5 
1998,1.42,0.13,0.68,2.24,5 
1997,1.36,0.13,0.69,2.18,6 
1996,1.36,0.13,0.68,2.18,6 
1995,1.34,0.12,0.73,2.20,6 
1994,1.38,0.12,0.73,2.24,5 
1993,1.35,0.12,0.73,2.20,6 
1992,1.37,0.15,0.74,2.26,6 
1991,1.37,0.15,0.76,2.27,6 
1990,1.36,0.18,0.80,2.34,6 
1989,1.25,0.15,0.70,2.09,8 
1988,1.21,0.16,0.76,2.13,8 
1987,1.24,0.19,0.79,2.22,8 
1986,1.22,0.19,0.81,2.23,8 
1985,1.22,0.18,0.94,2.34,8 
1984,1.27,0.17,0.89,2.33,7 
1983,1.30,0.17,0.95,2.43,7 
1982,1.29,0.18,0.98,2.45,7 
1981,1.32,0.19,1.05,2.56,7 
1980,1.30,0.18,1.07,2.56,7 
1979,1.23,0.17,1.04,2.44,7 
1978,1.19,0.17,1.05,2.42,7 
1977,1.15,0.17,1.06,2.38,7 
