year,beer,wine,spirits,total,decile
2009,1.05,0.21,0.57,1.83,10 
2008,1.10,0.20,0.57,1.87,10 
2007,1.13,0.20,0.56,1.89,10 
2006,1.14,0.19,0.56,1.89,9 
2005,1.19,0.19,0.55,1.93,9 
2004,1.21,0.18,0.53,1.92,9 
2003,1.26,0.18,0.52,1.96,9 
2002,1.17,0.17,0.51,1.85,9 
2001,1.13,0.16,0.50,1.79,9 
2000,1.21,0.15,0.50,1.86,9 
1999,1.21,0.15,0.49,1.86,9 
1998,1.19,0.15,0.50,1.84,9 
1997,1.16,0.16,0.50,1.82,9 
1996,1.18,0.15,0.51,1.84,9 
1995,1.18,0.15,0.52,1.84,9 
1994,1.18,0.15,0.53,1.86,9 
1993,1.20,0.14,0.54,1.87,9 
1992,1.21,0.14,0.56,1.90,9 
1991,1.19,0.13,0.54,1.87,9 
1990,1.22,0.14,0.60,1.96,9 
1989,1.18,0.14,0.59,1.90,9 
1988,1.20,0.14,0.60,1.95,9 
1987,1.17,0.15,0.62,1.94,9 
1986,1.17,0.16,0.63,1.96,9 
1985,1.11,0.16,0.67,1.94,9 
1984,1.11,0.15,0.70,1.95,9 
1983,1.10,0.14,0.69,1.93,10 
1982,1.13,0.14,0.70,1.96,10 
1981,1.14,0.13,0.72,1.98,10 
1980,1.10,0.12,0.69,1.92,9 
1979,1.14,0.11,0.73,1.98,9 
1978,1.16,0.11,0.72,1.99,9 
1977,1.10,0.10,0.71,1.91,10 
