year,beer,wine,spirits,total
2009,1.17,0.38,0.74,2.30
2008,1.20,0.38,0.73,2.32
2007,1.21,0.38,0.73,2.31
2006,1.20,0.37,0.71,2.28
2005,1.19,0.36,0.70,2.24
2004,1.21,0.35,0.68,2.23
2003,1.21,0.34,0.67,2.22
2002,1.23,0.33,0.65,2.20
2001,1.23,0.31,0.64,2.18
2000,1.22,0.31,0.65,2.18
1999,1.23,0.31,0.63,2.16
1998,1.22,0.30,0.62,2.14
1997,1.22,0.30,0.62,2.14
1996,1.23,0.30,0.63,2.16
1995,1.23,0.29,0.63,2.15
1994,1.25,0.28,0.65,2.18
1993,1.26,0.28,0.68,2.23
1992,1.29,0.30,0.71,2.30
1991,1.29,0.30,0.71,2.30
1990,1.34,0.33,0.77,2.45
1989,1.31,0.34,0.77,2.42
1988,1.33,0.36,0.79,2.48
1987,1.34,0.38,0.82,2.54
1986,1.34,0.39,0.84,2.58
1985,1.33,0.38,0.90,2.62
1984,1.35,0.37,0.94,2.65
1983,1.37,0.36,0.96,2.69
1982,1.38,0.36,0.98,2.72
1981,1.39,0.35,1.02,2.76
1980,1.38,0.34,1.04,2.76
1979,1.37,0.32,1.06,2.75
1978,1.33,0.31,1.07,2.71
1977,1.29,0.29,1.06,2.64
