year,beer,wine,spirits,total,decile
2009,1.36,0.63,0.70,2.69,2 
2008,1.37,0.62,0.71,2.70,3 
2007,1.37,0.61,0.70,2.68,3 
2006,1.35,0.58,0.69,2.62,3 
2005,1.33,0.56,0.67,2.56,3 
2004,1.32,0.54,0.66,2.52,3 
2003,1.32,0.51,0.64,2.47,3 
2002,1.32,0.49,0.63,2.44,3 
2001,1.29,0.47,0.63,2.39,4 
2000,1.23,0.47,0.63,2.34,4 
1999,1.23,0.47,0.62,2.32,4 
1998,1.25,0.47,0.62,2.34,4 
1997,1.23,0.46,0.63,2.33,4 
1996,1.29,0.46,0.64,2.38,3 
1995,1.27,0.41,0.66,2.34,3 
1994,1.34,0.42,0.74,2.50,3 
1993,1.34,0.44,0.74,2.52,2 
1992,1.35,0.44,0.78,2.57,3 
1991,1.41,0.46,0.82,2.69,2 
1990,1.47,0.48,0.85,2.80,2 
1989,1.45,0.51,0.88,2.84,2 
1988,1.51,0.56,0.93,3.00,2 
1987,1.56,0.58,0.98,3.11,1 
1986,1.55,0.59,1.04,3.17,1 
1985,1.49,0.55,1.09,3.13,2 
1984,1.48,0.49,1.15,3.12,2 
1983,1.52,0.50,1.19,3.21,2 
1982,1.49,0.50,1.25,3.24,2 
1981,1.49,0.50,1.33,3.32,2 
1980,1.43,0.48,1.39,3.30,2 
1979,1.57,0.47,1.50,3.54,1 
1978,1.53,0.47,1.59,3.59,1 
1977,1.42,0.44,1.58,3.44,1 
