year,beer,wine,spirits,total,decile
2009,1.11,0.43,0.59,2.13,8 
2008,1.14,0.42,0.59,2.14,8 
2007,1.13,0.41,0.58,2.13,8 
2006,1.14,0.39,0.57,2.10,8 
2005,1.13,0.38,0.55,2.06,8 
2004,1.14,0.37,0.54,2.06,8 
2003,1.14,0.36,0.53,2.03,8 
2002,1.15,0.34,0.51,2.00,8 
2001,1.15,0.32,0.50,1.98,8 
2000,1.16,0.31,0.50,1.97,8 
1999,1.18,0.32,0.47,1.96,8 
1998,1.18,0.29,0.47,1.94,8 
1997,1.13,0.29,0.48,1.90,8 
1996,1.13,0.30,0.49,1.92,8 
1995,1.15,0.29,0.49,1.93,8 
1994,1.20,0.27,0.51,1.99,8 
1993,1.24,0.27,0.54,2.05,8 
1992,1.25,0.28,0.57,2.10,7 
1991,1.20,0.28,0.58,2.06,8 
1990,1.25,0.30,0.62,2.18,8 
1989,1.23,0.31,0.65,2.19,7 
1988,1.31,0.25,0.68,2.24,7 
1987,1.40,0.26,0.71,2.36,7 
1986,1.52,0.27,0.73,2.53,6 
1985,1.46,0.30,0.79,2.55,6 
1984,1.46,0.29,0.80,2.55,6 
1983,1.47,0.27,0.82,2.57,6 
1982,1.45,0.27,0.86,2.59,6 
1981,1.23,0.27,0.89,2.39,7 
1980,1.23,0.25,0.91,2.39,7 
1979,1.23,0.25,0.92,2.40,8 
1978,1.22,0.21,0.90,2.33,8 
1977,1.19,0.21,0.90,2.30,7 
