year,beer,wine,spirits,total,decile
2009,1.24,0.10,0.45,1.79,10 
2008,1.26,0.10,0.44,1.80,10 
2007,1.24,0.10,0.42,1.76,10 
2006,1.22,0.10,0.42,1.74,10 
2005,1.23,0.10,0.40,1.73,10 
2004,1.25,0.10,0.39,1.75,10 
2003,1.23,0.10,0.38,1.71,10 
2002,1.26,0.10,0.38,1.74,10 
2001,1.23,0.10,0.37,1.70,10 
2000,1.18,0.10,0.35,1.64,10 
1999,1.18,0.10,0.37,1.66,10 
1998,1.17,0.10,0.36,1.63,10 
1997,1.14,0.10,0.37,1.60,10 
1996,1.14,0.10,0.37,1.61,10 
1995,1.14,0.09,0.38,1.61,10 
1994,1.17,0.08,0.39,1.64,10 
1993,1.18,0.08,0.40,1.67,10 
1992,1.16,0.09,0.41,1.66,10 
1991,1.18,0.09,0.43,1.70,10 
1990,1.20,0.10,0.42,1.72,10 
1989,1.12,0.11,0.38,1.60,10 
1988,1.12,0.12,0.40,1.64,10 
1987,1.11,0.13,0.41,1.64,10 
1986,1.10,0.13,0.41,1.64,10 
1985,1.11,0.13,0.42,1.66,10 
1984,1.12,0.12,0.44,1.68,10 
1983,1.13,0.13,0.48,1.74,10 
1982,1.11,0.14,0.55,1.80,10 
1981,1.06,0.14,0.66,1.85,10 
1980,1.00,0.09,0.72,1.82,10 
1979,0.97,0.09,0.77,1.83,10 
1978,0.96,0.09,0.79,1.84,10 
1977,0.98,0.09,0.78,1.85,10 
