year,beer,wine,spirits,total,decile
2009,1.49,0.31,1.16,2.96,2 
2008,1.53,0.34,1.12,2.99,2 
2007,1.54,0.33,1.11,2.98,1 
2006,1.56,0.32,1.09,2.96,1 
2005,1.55,0.31,1.07,2.92,1 
2004,1.52,0.30,1.01,2.83,1 
2003,1.52,0.29,1.00,2.81,2 
2002,1.56,0.28,0.98,2.81,2 
2001,1.53,0.26,0.95,2.74,2 
2000,1.54,0.27,0.95,2.76,1 
1999,1.53,0.26,0.92,2.72,2 
1998,1.61,0.26,0.79,2.65,2 
1997,1.57,0.25,0.89,2.71,1 
1996,1.53,0.24,0.88,2.65,1 
1995,1.55,0.23,0.87,2.65,1 
1994,1.58,0.22,0.91,2.72,2 
1993,1.59,0.22,0.89,2.71,1 
1992,1.59,0.25,0.90,2.74,2 
1991,1.65,0.27,0.84,2.76,1 
1990,1.74,0.31,1.03,3.07,1 
1989,1.71,0.31,0.95,2.96,1 
1988,1.75,0.33,0.95,3.02,2 
1987,1.78,0.36,0.97,3.11,2 
1986,1.87,0.34,0.95,3.16,2 
1985,1.82,0.32,1.05,3.19,1 
1984,1.86,0.30,1.03,3.19,2 
1983,1.93,0.33,1.07,3.33,2 
1982,1.93,0.30,1.04,3.27,2 
1981,1.95,0.31,1.20,3.47,1 
1980,1.96,0.31,1.20,3.46,1 
1979,1.88,0.28,1.17,3.33,3 
1978,1.80,0.28,1.18,3.25,2 
1977,1.78,0.27,1.26,3.31,2 
