year,beer,wine,spirits,total,decile
2009,1.45,0.22,1.10,2.77,2 
2008,1.54,0.23,1.12,2.89,2 
2007,1.49,0.23,1.10,2.82,2 
2006,1.47,0.23,1.05,2.74,2 
2005,1.21,0.23,0.97,2.40,5 
2004,1.41,0.22,0.92,2.55,3 
2003,1.69,0.23,0.90,2.82,1 
2002,1.46,0.22,0.88,2.56,2 
2001,1.43,0.22,0.88,2.52,2 
2000,1.42,0.18,0.86,2.46,3 
1999,1.41,0.18,0.84,2.43,3 
1998,1.38,0.20,0.81,2.40,3 
1997,1.36,0.17,0.81,2.33,3 
1996,1.37,0.16,0.81,2.34,3 
1995,1.34,0.16,0.80,2.29,4 
1994,1.42,0.18,0.83,2.43,3 
1993,1.40,0.19,0.86,2.45,3 
1992,1.44,0.20,0.91,2.56,3 
1991,1.45,0.20,0.90,2.56,3 
1990,1.48,0.22,0.93,2.63,3 
1989,1.35,0.22,0.82,2.38,6 
1988,1.39,0.23,0.83,2.46,6 
1987,1.46,0.24,0.86,2.56,5 
1986,1.46,0.26,0.92,2.64,5 
1985,1.56,0.25,1.03,2.84,3 
1984,1.58,0.22,1.05,2.86,4 
1983,1.66,0.22,1.09,2.98,4 
1982,1.80,0.24,1.21,3.25,2 
1981,1.91,0.24,1.27,3.42,2 
1980,1.85,0.24,1.32,3.42,2 
1979,1.86,0.22,1.30,3.38,2 
1978,1.82,0.22,1.36,3.41,2 
1977,1.79,0.21,1.32,3.31,2 
