"","",Beer ,"","","",Wine ,"","","",Spirits ,"","","",All beverages ,""
State or other ,"","","","","","","","","","","","","","",""
geographic area ,Volume ,Ethanol ,Per capita ,"",Volume ,Ethanol ,Per capita ,"",Volume ,Ethanol ,Per capita ,"",Ethanol ,Per capita ,U.S. decile 
Alabama ..........  ,"102,308 ","4,604 ",1.20 ,"","6,684 ",862 ,0.22 ,"","5,430 ","2,232 ",0.58 ,"","7,698 ",2.01 ,9 
Alaska .............  ,"16,236 ",731 ,1.31 ,"","2,326 ",300 ,0.54 ,"","1,572 ",646 ,1.16 ,"","1,677 ",3.02 ,2 
Arizona ............  ,"137,838 ",6.203 ,1.19 ,"","15,465 ","1,995 ",0.38 ,"","9,449 ","3,883 ",0.74 ,"","12,081 ",2.31 ,7 
Arkansas .........  ,"55,463 ","2,496 ",1.07 ,"","3,043 ",393 ,0.17 ,"","3,395 ","1,395 ",0.60 ,"","4,284 ",1.83 ,10 
California .........  ,"688,928 ","31,002 ",1.05 ,"","127,316 ","16,424 ",0.55 ,"","52,840 ","21,717 ",0.73 ,"","69,143 ",2.33 ,6 
Colorado ..........  ,"110,123 ","4,956 ",1.22 ,"","14,425 ","1,861 ",0.46 ,"","9,850 ","4,048 ",1.00 ,"","10,865 ",2.68 ,3 
Connecticut .....  ,"57,498 ","2,587 ",0.89 ,"","13,374 ","1,725 ",0.59 ,"","6,080 ","2,499 ",0.86 ,"","6,811 ",2.34 ,6 
Delaware .........  ,"21,173 ",953 ,1.31 ,"","3,210 ",414 ,0.57 ,"","2,199 ",904 ,1.25 ,"","2,271 ",3.13 ,1 
Dist. of Columb. ,"14,310 ",644 ,1.26 ,"","3,965 ",511 ,1.00 ,"","2,031 ",835 ,1.64 ,"","1,990 ",3.90 ,1 
Florida .............  ,"412,794 ","18,576 ",1.21 ,"","57,842 ","7,462 ",0.48 ,"","34,522 ","14,188 ",0.92 ,"","40,226 ",2.61 ,3 
Georgia ...........  ,"186,908 ","8,411 ",1.08 ,"","14,833 ","1,913 ",0.25 ,"","12,233 ","5,028 ",0.64 ,"","15,352 ",1.97 ,9 
Hawaii .............  ,"30,893 ","1,390 ",1.30 ,"","4,400 ",568 ,0.53 ,"","1,944 ",799 ,0.75 ,"","2,757 ","2,58 ",4 
